brand,model,announced,size_height_width_deth,weight_g,colors,capacity,ram,approx_price_USD,img_url,stock
Apple,iPhone12Pro,2020october,146.7x71.5x7.4mm,189grams,Silver,128GB,6GB,999,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12-Pro.jpg,
Apple,iPhone12Pro,2020october,146.7x71.5x7.4mm,189grams,Silver,256GB,6GB,1099,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12-Pro.jpg,
Apple,iPhone12Pro,2020october,146.7x71.5x7.4mm,189grams,Silver,512GB,6GB,1299,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12-Pro.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Purple,64GB,4GB,650,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Purple,128GB,4GB,879,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Purple,256GB,4GB,899,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Blue,64GB,4GB,650,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Blue,128GB,4GB,879,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Blue,256GB,4GB,899,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Green,64GB,4GB,650,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Green,128GB,4GB,879,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Green,256GB,4GB,899,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Red,64GB,4GB,650,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Red,128GB,4GB,879,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Red,256GB,4GB,899,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,White,64GB,4GB,650,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,White,128GB,4GB,879,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,White,256GB,4GB,899,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Black,64GB,4GB,650,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Black,128GB,4GB,879,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12,2020october,146.7x71.5x7.4mm,164grams,Black,256GB,4GB,899,https://mobizil.com/wp-content/uploads/2020/10/Apple-iPhone-12.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Purple,64GB,4GB,525,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Purple,128GB,4GB,600,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Purple,256GB,4GB,700,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Blue,64GB,4GB,525,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Blue,128GB,4GB,600,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Blue,256GB,4GB,700,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Green,64GB,4GB,525,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Green,128GB,4GB,600,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Green,256GB,4GB,700,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Red,64GB,4GB,525,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Red,128GB,4GB,600,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Red,256GB,4GB,700,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,White,64GB,4GB,525,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,White,128GB,4GB,600,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,White,256GB,4GB,700,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Black,64GB,4GB,525,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Black,128GB,4GB,600,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
Apple,iPhone12Mini,2020october,131.5x64.2x7.4mm,135grams,Black,256GB,4GB,700,https://mobizil.com/wp-content/uploads/2020/10/iPhone-12-Mini.jpg,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 8,2017  September,158.4 x 78.1 x 7.5 mm,202,,,3 GB RAM,,,
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Jet Black,32 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Jet Black,128 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Jet Black,256 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Black,32 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Black,128 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Black,256 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Silver,32 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Silver,128 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Silver,256 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Gold,32 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Gold,128 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Gold,256 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Rose Gold,32 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Rose Gold,128 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Rose Gold,256 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Red,32 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Red,128 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7 Plus,2016  September,158.2 x 77.9 x 7.3 mm ,188,Red,256 GB,3 GB RAM,900,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7-plus-r2.jpg,5
Apple,iPhone 7,2016  September,138.3 x 67.1 x 7.1 mm ,138,Jet Black,32 GB,GB| 2 GB RAM,760,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7r4.jpg,5
Apple,iPhone 7,2016  September,138.3 x 67.1 x 7.1 mm ,138,Jet Black,128 GB,GB| 2 GB RAM,760,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7r4.jpg,5
Apple,iPhone 7,2016  September,138.3 x 67.1 x 7.1 mm ,138,Jet Black,256 GB,GB| 2 GB RAM,760,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7r4.jpg,5
Apple,iPhone 7,2016  September,138.3 x 67.1 x 7.1 mm ,138,Black,32 GB,GB| 2 GB RAM,760,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7r4.jpg,5
Apple,iPhone 7,2016  September,138.3 x 67.1 x 7.1 mm ,138,Black,128 GB,GB| 2 GB RAM,760,http://cdn2.gsmarena.com/vv/bigpic/apple-iphone-7r4.jpg,5
